x,y,z,y-coordinate,x_velocity,y_velocity,z_velocity
337.13849,-2517.3179,-3492,-2517.8184,,0,0
337.13849,-2472.5935,-3492,-2473.0854,,0,0
337.13849,-2427.8694,-3492,-2428.3523,,0,0
337.13849,-2383.145,-3492,-2383.6194,,0,0
337.13849,-2338.4211,-3492,-2338.8865,,0,0
337.13849,-2293.6968,-3492,-2294.1533,,0,0
337.13849,-2248.9729,-3492,-2249.4204,,0,0
337.13849,-2204.2485,-3492,-2204.6873,,0,0
337.13849,-2159.5247,-3492,-2159.9543,,0,0
337.13849,-2114.8003,-3492,-2115.2214,,0,0
337.13849,-2070.0762,-3492,-2070.4883,,0,0
337.13849,-2025.3521,-3492,-2025.7554,,0,0
337.13849,-1980.6279,-3492,-1981.0225,,0,0
337.13849,-1935.9038,-3492,-1936.2894,,0,0
337.13849,-1891.1797,-3492,-1891.5565,,0,0
337.13849,-1846.4554,-3492,-1846.8235,,0,0
337.13849,-1801.7314,-3492,-1802.0905,,0,0
337.13849,-1757.0072,-3492,-1757.3575,,0,0
337.13849,-1712.2832,-3492,-1712.6245,,0,0
337.13849,-1667.559,-3492,-1667.8915,,0,0
337.13849,-1622.835,-3492,-1623.1586,,0,0
337.13849,-1578.1107,-3492,-1578.4255,,0,0
337.13849,-1533.3866,-3492,-1533.6925,,0,0
337.13849,-1488.6625,-3492,-1488.9596,,0,0
337.13849,-1443.9384,-3492,-1444.2266,,0,0
337.13849,-1399.2142,-3492,-1399.4935,,0,0
337.13849,-1354.49,-3492,-1354.7606,,0,0
337.13849,-1309.7659,-3492,-1310.0276,,0,0
337.13849,-1265.0417,-3492,-1265.2947,,0,0
337.13849,-1220.3176,-3492,-1220.5616,,0,0
337.13849,-1175.5935,-3492,-1175.8286,,0,0
337.13849,-1130.8694,-3492,-1131.0957,,0,0
337.13849,-1086.1453,-3492,-1086.3627,,0,0
337.13849,-1041.4211,-3492,-1041.6296,,0,0
337.13849,-996.69702,-3492,-996.89667,,0,0
337.13849,-951.9729,-3492,-952.1637,,0,0
337.13849,-907.24872,-3492,-907.43073,,0,0
337.13849,-862.52466,-3492,-862.69775,,0,0
337.13849,-817.80042,-3492,-817.96472,,0,0
337.13849,-773.07629,-3492,-773.23175,,0,0
337.13849,-728.35217,-3492,-728.49878,,0,0
337.13849,-683.62805,-3492,-683.76581,,0,0
337.13849,-638.90393,-3492,-639.03284,,0,0
337.13849,-594.17981,-3492,-594.2998,,0,0
337.13849,-549.45569,-3492,-549.56683,,0,0
337.13849,-504.73154,-3492,-504.83386,,0,0
337.13849,-460.00742,-3492,-460.10086,,0,0
337.13849,-415.28326,-3492,-415.36786,,0,0
337.13849,-370.55914,-3492,-370.63489,,0,0
337.13849,-325.83499,-3492,-325.90189,,0,0
337.13849,-281.11084,-3492,-281.16891,,0,0
337.13849,-236.38672,-3492,-236.43594,,0,0
337.13849,-191.6626,-3492,-191.70294,,0,0
337.13849,-146.93848,-3492,-146.96996,,0,0
337.13849,-102.21434,-3492,-102.23697,,0,0
337.13849,-57.4902,-3492,-57.503998,,0,0
337.13849,-12.766066,-3492,-12.771012,,0,0
337.13849,-4747.9473,-3448,-4748.4434,,0,0
337.13849,-4741.0947,-3448,-4741.582,,0,0
337.13849,-4733.8999,-3448,-4734.3774,,0,0
337.13849,-4726.3452,-3448,-4726.8135,,0,0
337.13849,-4718.4131,-3448,-4718.8706,,0,0
337.13849,-4710.0845,-3448,-4710.5308,,0,0
337.13849,-4701.3389,-3448,-4701.7734,,0,0
337.13849,-4692.1475,-3448,-4692.5737,,0,0
